epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.186,1.5835,3.1375,1.50284,0.31096,0.16314,0.17049,0.08167,1.86333,2.50359,1.69024,0.00023727,0.00023727,0.00023727
2,622.251,1.42144,1.97363,1.42108,0.49983,0.18831,0.23449,0.12278,1.83286,1.95536,1.73632,0.000470565,0.000470565,0.000470565
3,1048.66,1.35163,1.74042,1.38983,0.33875,0.13987,0.18986,0.09601,1.88695,1.88101,1.74476,0.000699147,0.000699147,0.000699147
4,1495.86,1.3167,1.64627,1.36288,0.62961,0.14797,0.2366,0.11278,1.84059,1.67277,1.66758,0.000692794,0.000692794,0.000692794
5,1887.37,1.28785,1.56703,1.34312,0.5095,0.14718,0.2239,0.11357,1.80652,1.55104,1.65396,0.000685726,0.000685726,0.000685726
6,2286.72,1.25445,1.51009,1.32339,0.57967,0.15323,0.21671,0.1091,1.85133,1.47058,1.69063,0.000678657,0.000678657,0.000678657
7,2699.19,1.22932,1.47418,1.31457,0.46962,0.11828,0.19129,0.09643,1.74583,1.51644,1.60758,0.000671588,0.000671588,0.000671588
8,3168.67,1.22291,1.44622,1.30178,0.50289,0.11936,0.22283,0.11368,1.8688,1.56476,1.70437,0.00066452,0.00066452,0.00066452
9,3579.4,1.21621,1.42021,1.30012,0.44978,0.13369,0.20117,0.09815,1.69835,1.37945,1.56534,0.000657451,0.000657451,0.000657451
10,3986.82,1.19321,1.38349,1.28515,0.48572,0.12052,0.21624,0.10989,1.74562,1.44249,1.56879,0.000650383,0.000650383,0.000650383
11,4403.86,1.18636,1.35026,1.27601,0.63944,0.14894,0.27387,0.12872,1.77584,1.4011,1.62834,0.000643314,0.000643314,0.000643314
12,4824.55,1.17016,1.33395,1.26369,0.70168,0.13993,0.23773,0.13213,1.65207,1.32696,1.52169,0.000636245,0.000636245,0.000636245
